index,product,category,brand,brand_id,price
71,"Milkshake Mix, 200 g + Oreo - Choco Creme Biscuit, Family Pack, 300 g","Bakery, Cakes & Dairy",Cadb,Cadb,255
72,Milkshake Mix,"Bakery, Cakes & Dairy",Cadb,Cadb,350
73,Badam Milkshake,"Bakery, Cakes & Dairy",Cavin,Cavin,50
74,Rabdi Milkshake,"Bakery, Cakes & Dairy",Cavin,Cavin,150
75,Rajbhog Milkshake,"Bakery, Cakes & Dairy",Cavin,Cavin,150
76,Lassi - Mango,"Bakery, Cakes & Dairy",Cavin,Cavin,60
77,Methi Khakhra,"Bakery, Cakes & Dairy",Chai ,Chai ,30
78,Multigrain Biscuit,"Bakery, Cakes & Dairy",Chai ,Chai ,20
79,Masala Biscuit,"Bakery, Cakes & Dairy",Chai ,Chai ,20
80,"Assorted Cookies - Fruit & Nut, Choc Chip","Bakery, Cakes & Dairy",Cook,Cook,195
81,Shortbread Dark Chocolate Cookies,"Bakery, Cakes & Dairy",Cook,Cook,250
82,Brownie Brittle,"Bakery, Cakes & Dairy",Cook,Cook,250
83,Assorted Cookies,"Bakery, Cakes & Dairy",Cook,Cook,330
84,Almond Biscotti,"Bakery, Cakes & Dairy",Cook,Cook,275
85,Artisanal Cookies - Seasons Greetings,"Bakery, Cakes & Dairy",Cook,Cook,295
86,Cholesterol Free - Spread,"Bakery, Cakes & Dairy",Delic,Delic,48
87,Rusk - Sooji Elaichi,"Bakery, Cakes & Dairy",Elite,Elite,30
88,Bar Cake - Chocolate,"Bakery, Cakes & Dairy",Elite,Elite,30
89,Bar Cake - Choco Orange,"Bakery, Cakes & Dairy",Elite,Elite,30
90,Orange Flavoured Tooti Frooti,"Bakery, Cakes & Dairy",Elite,Elite,25
91,Dreams Cup Cake - Chocolate,"Bakery, Cakes & Dairy",Elite,Elite,50
92,Rusk - Foxtail Millet,"Bakery, Cakes & Dairy",e-mi,e-mi,30
93,Bread - Fruit,"Bakery, Cakes & Dairy",Engli,Engli,20
94,Bread - Pav,"Bakery, Cakes & Dairy",Engli,Engli,30
95,Atta Bread,"Bakery, Cakes & Dairy",Engli,Engli,45
96,Bread - Milk,"Bakery, Cakes & Dairy",Engli,Engli,40
97,"Almond Milk - Unsweetened, Dairy Free","Bakery, Cakes & Dairy",Epig,Epig,300
98,Probiotic Yogurt - Alphonso Mango,"Bakery, Cakes & Dairy",Epig,Epig,25
99,"Brown Bread - Safe, Preservative Free","Bakery, Cakes & Dairy",Fres,Fres,39
100,Kulcha,"Bakery, Cakes & Dairy",Fres,Fres,29
101,"Whole Wheat Bread - Safe, Preservative Free 400 g + Pav 300 g","Bakery, Cakes & Dairy",Fres,Fres,68
102,"Bread - Whole Wheat, Chemical Free 400G + Eggs - Table Tray 12pcs","Bakery, Cakes & Dairy",Fres,Fres,149
103,"Multigrain Hot Dog Bun - Safe, Preservative Free","Bakery, Cakes & Dairy",Fres,Fres,65
104,Malai Fresh Paneer,"Bakery, Cakes & Dairy",Fres,Fres,169
105,Muffin/Cup Cake Vanilla 200 g + Choco Chip 200 g (Pack of 4 each),"Bakery, Cakes & Dairy",Fres,Fres,318
106,Muffin/Cup Cake - Vanilla,"Bakery, Cakes & Dairy",Fres,Fres,159
107,Honey Oats & Raisin Muffins,"Bakery, Cakes & Dairy",Fres,Fres,149
108,Lavash - Corn,"Bakery, Cakes & Dairy",Fres,Fres,170
109,"Cookies - Dark Chocochip, Chewy","Bakery, Cakes & Dairy",Fres,Fres,149
110,Choco Chip Tea Cake,"Bakery, Cakes & Dairy",Fres,Fres,159
111,Cheese - Pizza,"Bakery, Cakes & Dairy",Go ,Go ,140
112,Plain Cheese - Processed Angles,"Bakery, Cakes & Dairy",Go ,Go ,100
113,Cheese Spread - Garlic (Soft & Creamy),"Bakery, Cakes & Dairy",Go ,Go ,135
114,Pizza Cheese - Mozzarella & Cheddar,"Bakery, Cakes & Dairy",Go ,Go ,249
115,Supremo Milk,"Bakery, Cakes & Dairy",Go ,Go ,72
116,Cream - Fresh,"Bakery, Cakes & Dairy",Go ,Go ,50
117,"Cheese - Pizza, Block","Bakery, Cakes & Dairy",Go ,Go ,440
118,Weelz Crunchy Choco Coated Biscuit,"Bakery, Cakes & Dairy",Go,Go,150
119,"Butter Milk - Uht, Spicy","Bakery, Cakes & Dairy",Godr,Godr,15
120,Badam Flavoured Milk,"Bakery, Cakes & Dairy",Godr,Godr,25
121,Flavoured Milk - Strawberry,"Bakery, Cakes & Dairy",Godr,Godr,30
122,Cashew & Oat Mylk,"Bakery, Cakes & Dairy",Good,Good,28
123,Peanut Curd,"Bakery, Cakes & Dairy",Good,Good,140
124,Vegan Butter,"Bakery, Cakes & Dairy",Good,Good,70
125,Chocolate Mylk - Cashew & Oat,"Bakery, Cakes & Dairy",Good,Good,40
126,Topp Up Milk - Elaichi,"Bakery, Cakes & Dairy",Gowa,Gowa,90
127,Go Mozzarella Cheese - Diced,"Bakery, Cakes & Dairy",Gowa,Gowa,945
128,Organic Salted Butter,"Bakery, Cakes & Dairy",Happ,Happ,155
129,Organic Mozzarella Cheese,"Bakery, Cakes & Dairy",Happ,Happ,290
130,Tempeh Cubes - Simply Sriracha Soyabean,"Bakery, Cakes & Dairy",Hell,Hell,150
131,Tempeh Cubes - Soyabean,"Bakery, Cakes & Dairy",Hell,Hell,130
132,Tempeh Cubes - Spiced Tawa Masala Soyabean,"Bakery, Cakes & Dairy",Hell,Hell,150
133,Tempeh Cubes - Peppery Szechuan Chilli Soyabean,"Bakery, Cakes & Dairy",Hell,Hell,150
134,Flavoured Milk - Pista,"Bakery, Cakes & Dairy",Heri,Heri,100
135,Cheese Blocks,"Bakery, Cakes & Dairy",Heri,Heri,109
136,Cooking Butter,"Bakery, Cakes & Dairy",Heri,Heri,104
137,Table Butter - Pasteurised,"Bakery, Cakes & Dairy",Heri,Heri,250
138,Cafe Latte Cold Coffee,"Bakery, Cakes & Dairy",Heri,Heri,35
139,Natural Paneer,"Bakery, Cakes & Dairy",iD,iD,105
140,Thick Shake - Strawberry,"Bakery, Cakes & Dairy",Jers,Jers,30
141,Thick Shake - Chocolate,"Bakery, Cakes & Dairy",Jers,Jers,30
142,30 Second Almond Milk  - Unsweetened,"Bakery, Cakes & Dairy",Jus ,Jus ,600
143,Frozen Dessert - Oreo & Creme,"Bakery, Cakes & Dairy",kwal,kwal,259
144,Tender Coconut Tub - Frozen Dessert,"Bakery, Cakes & Dairy",kwal,kwal,199
145,"Cornetto Frozen Dessert-Double Chocolate+Butterscotch (115ml E)+Disc, Oreo 120ml","Bakery, Cakes & Dairy",kwal,kwal,140
146,Frozen Dessert - Crunchy Butterscotch,"Bakery, Cakes & Dairy",kwal,kwal,149
147,Cookies - Cornflakes,"Bakery, Cakes & Dairy",Love,Love,130
148,Atta Rusk,"Bakery, Cakes & Dairy",Love,Love,65
149,"Australian Anzac Cookies - Honey, Oats, Cashew & Nuts","Bakery, Cakes & Dairy",Love,Love,45
150,Cookies - Chocochip,"Bakery, Cakes & Dairy",Love,Love,45
151,Cookies - Italian Biscotti,"Bakery, Cakes & Dairy",Love,Love,185
152,Cookies - Butter Pista,"Bakery, Cakes & Dairy",Love,Love,65
153,Fruit Yoghurt - Blueberry,"Bakery, Cakes & Dairy",Milk,Milk,40
154,Mozzarella - Pizza Cheese,"Bakery, Cakes & Dairy",Milk,Milk,497
155,Cheese - Slices,"Bakery, Cakes & Dairy",Milk,Milk,390
156,Cheese - Cheddar,"Bakery, Cakes & Dairy",Milk,Milk,175
157,Cheddar - Cheese,"Bakery, Cakes & Dairy",Milk,Milk,490
158,Cheese Slices,"Bakery, Cakes & Dairy",Milk,Milk,370
159,Cooking Butter - Unsalted,"Bakery, Cakes & Dairy",Milk,Milk,240
160,Pizza Cheese Mozzarella - Diced,"Bakery, Cakes & Dairy",Milk,Milk,110
161,Cheese Cubes,"Bakery, Cakes & Dairy",Milk,Milk,135
162,Cheese - Slices,"Bakery, Cakes & Dairy",Milk,Milk,145
163,Nava Grains,"Bakery, Cakes & Dairy",Mille,Mille,50
164,Barnyard Millet,"Bakery, Cakes & Dairy",Mille,Mille,45
165,Salt With Jeera,"Bakery, Cakes & Dairy",Mille,Mille,45
166,Millet Cookies - Pearl Millet,"Bakery, Cakes & Dairy",Mille,Mille,45
167,Badam Drink,"Bakery, Cakes & Dairy",MTR,MTR,50
168,Flavoured Milk - Badam,"Bakery, Cakes & Dairy",Nand,Nand,25
169,Cheddar Cheese Spread - Chilly Garlic,"Bakery, Cakes & Dairy",Nand,Nand,85
170,Toned Milk,"Bakery, Cakes & Dairy",Nand,Nand,26
171,Milk Powder - Skimmed,"Bakery, Cakes & Dairy",Nand,Nand,315
172,Cheddar Cheese Spread - Jalapeno,"Bakery, Cakes & Dairy",Nand,Nand,77
173,Chilled Latte Coffee,"Bakery, Cakes & Dairy",Nesc,Nesc,210
174,Ready to Drink Coffee Flavoured Milk - Iced Latte,"Bakery, Cakes & Dairy",Nesc,Nesc,50
175,Milo Cocoa-Malt Milk Beverage - Grab & Go Pack,"Bakery, Cakes & Dairy",Nest ,Nest ,210
176,Milkmaid Sweetened Condensed Milk,"Bakery, Cakes & Dairy",Nest ,Nest ,128
